listingId,formattedCompany,comparable,delivery.state,delivery.latitude,delivery.longitude,numVehicles,vehiclesCount,vehicleOperable,vehicles,wideLoad,pickup.state,pickup.latitude,pickup.longitude,preferred_shipper,price,rating_count,rating_license,rating_score
41221530,"M&J Auto Transport, Inc.",0,AL,33.173002,-87.613500,1,1,0,(Pickup),0,AK,60.885768,-149.459365,0,400,168,1,99.1%
41090000,SWAT Inc.,0,WA,47.131890,-122.411850,1,1,1,(RV),0,AK,61.080278,-149.701828,0,1400,636,1,98.4%
41427985,Fidelity Auto Shipping,0,WA,47.544110,-122.313368,1,1,1,(Car),0,AK,61.222463,-149.867694,0,1500,1296,1,99.9%
41327193,Auto Island Credit,1,AL,33.540737,-86.801371,1,1,1,(Other),0,AL,33.405847,-86.952715,0,250,5,1,100.0%
41469893,Prominence Motors LLC,1,AL,34.711400,-86.549321,1,1,1,(Car),0,AL,33.337626,-86.960735,0,80,1,1,100.0%
41464259,United Road Logistics LLC,1,AL,33.351416,-86.821528,1,0,1,(Car),0,AL,33.648641,-86.699286,0,36,1167,1,98.7%
41491190,Carsarrive Network Inc.,1,AL,33.351416,-86.821528,1,1,1,(Car),0,AL,33.648641,-86.699286,0,140,953,1,99.4%
41238898,"Americars Group, LLC",1,AL,33.620750,-85.553122,1,1,1,(Other),0,AL,30.808850,-88.178103,0,320,170,1,100.0%
41484261,United Road Logistics LLC,1,AL,34.759182,-86.689641,1,0,1,(Car),0,AL,34.830274,-87.664543,0,75,1167,1,98.7%
41483920,Carsarrive Network Inc.,1,AL,33.351416,-86.821528,1,1,1,(Car),0,AL,34.606181,-86.545601,0,115,953,1,99.4%
41492643,United Road Logistics LLC,1,AL,33.351416,-86.821528,1,0,1,(Car),0,AL,34.759182,-86.689641,0,91,1167,1,98.7%
37115198,Auto Island Credit,1,AL,33.464529,-86.806566,5,5,1,"(4 Car, Pickup)",0,AL,30.808850,-88.178103,0,575,5,1,100.0%
41492344,Ready Auto Transport (RAT),1,AL,33.603374,-86.494434,1,1,0,(Other),0,AL,33.603374,-86.494434,0,30,1699,1,99.9%
41433875,Intercoastal Logistics,1,AL,33.607804,-86.759310,1,1,1,(Travel Trailer),0,AL,33.376143,-86.071249,0,200,30,1,100.0%
