vehicles,vehicleOperable,numVehicles,pickup.city,pickup.state,delivery.city,delivery.state,truckMiles,price,price_per_mile,rv,van,travel trailer,car,atv,suv,pickup,other,motorcycle,heavy equipment,boat
Travel Trailer,False,1,talladega,AL,birmingham,AL,63.89776357827476,200.0,3.13,0,0,1,0,0,0,0,0,0,0,0
Other,False,1,pelham,AL,birmingham,AL,28.0,35.0,1.25,0,0,0,0,0,0,0,1,0,0,0
Pickup,False,1,tuscaloosa,AL,moody,AL,80.0,100.0,1.25,0,0,0,0,0,0,1,0,0,0,0
Car,False,1,birmingham,AL,hoover,AL,33.027522935779814,36.0,1.09,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,tanner,AL,birmingham,AL,99.00990099009901,100.0,1.01,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,austell,GA,birmingham,AL,127.45098039215686,130.0,1.02,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,tanner,AL,birmingham,AL,99.00990099009901,100.0,1.01,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,fairburn,GA,pelham,AL,157.89473684210526,150.0,0.9500000000000001,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,marietta,GA,pelham,AL,159.5744680851064,150.0,0.94,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,huntsville,AL,hoover,AL,112.34567901234567,91.0,0.81,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,tanner,AL,birmingham,AL,99.00990099009901,100.0,1.01,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,tanner,AL,murfreesboro,TN,123.71134020618557,120.0,0.97,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,tanner,AL,woodbury,TN,136.36363636363637,120.0,0.8799999999999999,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,memphis,TN,huntsville,AL,203.48837209302326,175.0,0.86,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,lebanon,TN,albertville,AL,168.91891891891893,125.0,0.74,0,0,0,1,0,0,0,0,0,0,0
Car,True,1,bessemer,AL,heflin,AL,91.24087591240875,125.0,1.37,0,0,0,1,0,0,0,0,0,0,0
Car,True,1,headland,AL,riverdale,GA,189.39393939393938,250.0,1.32,0,0,0,1,0,0,0,0,0,0,0
Car,True,1,montgomery,AL,calera,AL,72.81553398058253,75.0,1.03,0,0,0,1,0,0,0,0,0,0,0
Car,True,1,atlanta,GA,lincoln,AL,109.89010989010988,100.0,0.91,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,troy,AL,birmingham,AL,145.56962025316454,115.0,0.79,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,bessemer,AL,atlanta,GA,166.66666666666669,120.0,0.72,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,tuscaloosa,AL,marietta,GA,211.26760563380282,150.0,0.71,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,bessemer,AL,douglasville,GA,144.92753623188406,100.0,0.69,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,hueytown,AL,lithia springs,GA,151.5151515151515,100.0,0.66,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,tuscaloosa,AL,lawrenceville,GA,238.0952380952381,150.0,0.63,0,0,0,1,0,0,0,0,0,0,0
Pickup,True,1,hueytown,AL,booneville,MS,156.25,150.0,0.96,0,0,0,0,0,0,1,0,0,0,0
Pickup,False,1,trussville,AL,memphis,TN,258.6666666666667,194.0,0.75,0,0,0,0,0,0,1,0,0,0,0
Pickup,False,1,trussville,AL,memphis,TN,258.6666666666667,194.0,0.75,0,0,0,0,0,0,1,0,0,0,0
Pickup,False,1,trussville,AL,memphis,TN,258.6666666666667,194.0,0.75,0,0,0,0,0,0,1,0,0,0,0
Pickup,True,1,montgomery,AL,brookland,AR,416.6666666666667,150.0,0.36,0,0,0,0,0,0,1,0,0,0,0
Pickup,True,1,hueytown,AL,booneville,MS,156.25,150.0,0.96,0,0,0,0,0,0,1,0,0,0,0
Pickup,False,1,trussville,AL,memphis,TN,258.6666666666667,194.0,0.75,0,0,0,0,0,0,1,0,0,0,0
Pickup,False,1,trussville,AL,memphis,TN,258.6666666666667,194.0,0.75,0,0,0,0,0,0,1,0,0,0,0
Pickup,False,1,moody,AL,memphis,TN,259.6153846153846,135.0,0.52,0,0,0,0,0,0,1,0,0,0,0
Pickup,True,1,bessemer,AL,brookland,AR,312.5,150.0,0.48,0,0,0,0,0,0,1,0,0,0,0
Van,False,1,birmingham,AL,chandler,AZ,1688.6792452830189,895.0,0.53,0,1,0,0,0,0,0,0,0,0,0
Car,False,1,jasper,AL,mesa,AZ,1632.6530612244899,800.0,0.49,0,0,0,1,0,0,0,0,0,0,0
SUV,False,1,birmingham,AL,tempe,AZ,1702.1276595744682,800.0,0.47,0,0,0,0,0,1,0,0,0,0,0
Van Full-size,False,0,gardendale,AL,phoenix,AZ,1706.5217391304348,785.0,0.46,0,0,0,0,0,0,0,0,0,0,0
Car,False,1,anniston,AL,mesa,AZ,1794.871794871795,700.0,0.39,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,atlanta,GA,alhambra,CA,2142.857142857143,750.0,0.35,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,troy,AL,irvine,CA,2093.75,670.0,0.32,0,0,0,1,0,0,0,0,0,0,0
