listingId,vehicles,vehicleOperable,pickup.city,pickup.state,delivery.city,delivery.state,truckMiles,price,price_per_mile,rv,van,travel trailer,car,atv,suv,pickup,other,motorcycle,heavy equipment,boat
41327193,Travel Trailer,False,talladega,AL,birmingham,AL,63,200,3.13,0,0,1,0,0,0,0,0,0,0,0
41327193,Other,False,pelham,AL,birmingham,AL,28,35,1.25,0,0,0,0,0,0,0,1,0,0,0
41327193,Pickup,False,tuscaloosa,AL,moody,AL,80,100,1.25,0,0,0,0,0,0,1,0,0,0,0
41327193,Car,False,birmingham,AL,hoover,AL,33,36,1.09,0,0,0,1,0,0,0,0,0,0,0
41327193,Car,False,tanner,AL,birmingham,AL,99,100,1.01,0,0,0,1,0,0,0,0,0,0,0
41464259,Car,False,austell,GA,birmingham,AL,127,130,1.02,0,0,0,1,0,0,0,0,0,0,0
41464259,Car,False,tanner,AL,birmingham,AL,99,100,1.01,0,0,0,1,0,0,0,0,0,0,0
41464259,Car,False,fairburn,GA,pelham,AL,157,150,0.95,0,0,0,1,0,0,0,0,0,0,0
41464259,Car,False,marietta,GA,pelham,AL,159,150,0.94,0,0,0,1,0,0,0,0,0,0,0
41464259,Car,False,huntsville,AL,hoover,AL,112,91,0.81,0,0,0,1,0,0,0,0,0,0,0
41484261,Car,False,tanner,AL,birmingham,AL,99,100,1.01,0,0,0,1,0,0,0,0,0,0,0
41484261,Car,False,tanner,AL,murfreesboro,TN,123,120,0.97,0,0,0,1,0,0,0,0,0,0,0
41484261,Car,False,tanner,AL,woodbury,TN,136,120,0.88,0,0,0,1,0,0,0,0,0,0,0
41484261,Car,False,memphis,TN,huntsville,AL,203,175,0.86,0,0,0,1,0,0,0,0,0,0,0
41484261,Car,False,lebanon,TN,albertville,AL,168,125,0.74,0,0,0,1,0,0,0,0,0,0,0
41419636,Car,True,bessemer,AL,heflin,AL,91,125,1.37,0,0,0,1,0,0,0,0,0,0,0
41419636,Car,True,headland,AL,riverdale,GA,189,250,1.32,0,0,0,1,0,0,0,0,0,0,0
41419636,Car,True,montgomery,AL,calera,AL,72,75,1.03,0,0,0,1,0,0,0,0,0,0,0
41419636,Car,True,atlanta,GA,lincoln,AL,109,100,0.91,0,0,0,1,0,0,0,0,0,0,0
41419636,Car,False,troy,AL,birmingham,AL,145,115,0.79,0,0,0,1,0,0,0,0,0,0,0
41500201,Car,False,bessemer,AL,atlanta,GA,166,120,0.72,0,0,0,1,0,0,0,0,0,0,0
41500201,Car,False,tuscaloosa,AL,marietta,GA,211,150,0.71,0,0,0,1,0,0,0,0,0,0,0
41500201,Car,False,bessemer,AL,douglasville,GA,144,100,0.69,0,0,0,1,0,0,0,0,0,0,0
41500201,Car,False,hueytown,AL,lithia springs,GA,151,100,0.66,0,0,0,1,0,0,0,0,0,0,0
41500201,Car,False,tuscaloosa,AL,lawrenceville,GA,238,150,0.63,0,0,0,1,0,0,0,0,0,0,0
41435130,Pickup,True,hueytown,AL,booneville,MS,156,150,0.96,0,0,0,0,0,0,1,0,0,0,0
41435130,Pickup,False,trussville,AL,memphis,TN,258,194,0.75,0,0,0,0,0,0,1,0,0,0,0
41435130,Pickup,False,trussville,AL,memphis,TN,258,194,0.75,0,0,0,0,0,0,1,0,0,0,0
41435130,Pickup,False,trussville,AL,memphis,TN,258,194,0.75,0,0,0,0,0,0,1,0,0,0,0
41435130,Pickup,True,montgomery,AL,brookland,AR,416,150,0.36,0,0,0,0,0,0,1,0,0,0,0
41451021,Pickup,True,hueytown,AL,booneville,MS,156,150,0.96,0,0,0,0,0,0,1,0,0,0,0
41451021,Pickup,False,trussville,AL,memphis,TN,258,194,0.75,0,0,0,0,0,0,1,0,0,0,0
41451021,Pickup,False,trussville,AL,memphis,TN,258,194,0.75,0,0,0,0,0,0,1,0,0,0,0
41451021,Pickup,False,moody,AL,memphis,TN,259,135,0.52,0,0,0,0,0,0,1,0,0,0,0
41451021,Pickup,True,bessemer,AL,brookland,AR,312,150,0.48,0,0,0,0,0,0,1,0,0,0,0
41454123,Van,False,birmingham,AL,chandler,AZ,1688,895,0.53,0,1,0,0,0,0,0,0,0,0,0
41454123,Car,False,jasper,AL,mesa,AZ,1632,800,0.49,0,0,0,1,0,0,0,0,0,0,0
41454123,SUV,False,birmingham,AL,tempe,AZ,1702,800,0.47,0,0,0,0,0,1,0,0,0,0,0
41454123,Van Full-size,False,gardendale,AL,phoenix,AZ,1706,785,0.46,0,0,0,0,0,0,0,0,0,0,0
41454123,Car,False,anniston,AL,mesa,AZ,1794,700,0.39,0,0,0,1,0,0,0,0,0,0,0
41219100,Car,False,atlanta,GA,alhambra,CA,2142,750,0.35,0,0,0,1,0,0,0,0,0,0,0
41219100,Car,False,troy,AL,irvine,CA,2093,670,0.32,0,0,0,1,0,0,0,0,0,0,0
41219100,Car,False,troy,AL,irvine,CA,2093,670,0.32,0,0,0,1,0,0,0,0,0,0,0
41219100,Car,False,atlanta,GA,rosemead,CA,2187,700,0.32,0,0,0,1,0,0,0,0,0,0,0
41219100,Car,False,atlanta,GA,pasadena,CA,2160,605,0.28,0,0,0,1,0,0,0,0,0,0,0
41487132,Car,False,fort payne,AL,paramount,CA,2105,800,0.38,0,0,0,1,0,0,0,0,0,0,0
41487132,Car,False,madison,AL,long beach,CA,2027,750,0.37,0,0,0,1,0,0,0,0,0,0,0
41487132,Car,False,huntsville,AL,long beach,CA,2000,700,0.35,0,0,0,1,0,0,0,0,0,0,0
41487132,Car,False,birmingham,AL,los angeles,CA,2058,700,0.34,0,0,0,1,0,0,0,0,0,0,0
41487132,Car,False,birmingham,AL,alhambra,CA,2058,700,0.34,0,0,0,1,0,0,0,0,0,0,0
