vehicles,in_operation,num_vehicles,origin,destination,price,miles
Car,1,1,"national city, CA","san diego, CA",50,11.9904
Car,0,1,"san leandro, CA","burlingame, CA",150,25.9965
Car,0,1,"riverside, CA","los angeles, CA",75,51.0204
Van,0,1,"walnut creek, CA","cupertino, CA",200,58.9971
Car,0,1,"los angeles, CA","san diego, CA",110,119.565
Pickup,0,1,"san mateo, CA","long beach, CA",200,392.157
"SUV, SUV",0,2,"mira loma, CA","martinez, CA",400,833.333
Car,0,1,"san diego, CA","bloomington, CA",100,117.647
SUV,0,1,"oakland, CA","la honda, CA",200,57.971
Car,0,1,"newark, CA","richmond, CA",100,34.965
Car,0,1,"bayside, CA","sonoma, CA",200,250
Van,0,1,"santa clara, CA","la mesa, CA",400,470.588
Car,1,1,"lodi, CA","richmond, CA",150,81.9672
Car,0,1,"fremont, CA","tracy, CA",100,44.0529
Car,0,1,"harbor city, CA","san diego, CA",130,107.438
Van Full-size,0,1,"san jose, CA","visalia, CA",250,200
Pickup,0,1,"long beach, CA","riverside, CA",100,49.0196
Car,1,1,"san diego, CA","gardena, CA",100,126.582
Car,1,1,"san martin, CA","fontana, CA",200,357.143
SUV,0,1,"pinole, CA","menifee, CA",325,464.286
Pickup,0,1,"riverside, CA","la mirada, CA",75,43.1034
Car,0,1,"rancho mirage, CA","hawthorne, CA",150,131.579
SUV,0,1,"costa mesa, CA","modesto, CA",225,357.143
Car,0,1,"fresno, CA","van nuys, CA",150,211.268
Car,0,1,"riverside, CA","livermore, CA",200,400
SUV,0,1,"santa fe springs, CA","placentia, CA",50,19.0114
Car,0,1,"los angeles, CA","stanford, CA",250,357.143
"Car, Car, SUV",0,3,"riverside, CA","fresno, CA",390,847.826
Pickup,0,1,"san luis obispo, CA","corona, CA",350,255.474
Car,0,1,"santa ana, CA","fontana, CA",100,46.9484
Pickup,0,1,"reno, NV","concord, CA",225,218.447
Car,0,1,"anaheim, CA","menlo park, CA",225,387.931
Pickup,1,1,"san diego, CA","long beach, CA",150,119.048
SUV,0,1,"tustin, CA","chico, CA",400,519.481
Other,1,1,"oakland, CA","oakland, CA",55,3.00055
Van,0,1,"colton, CA","long beach, CA",70,70
Car,0,1,"fresno, CA","la puente, CA",150,241.935
SUV,1,1,"rancho cordova, CA","gardena, CA",150,405.405
Car,0,1,"rancho cordova, CA","long beach, CA",175,406.977
Car,1,1,"hayward, CA","long beach, CA",175,388.889
SUV,0,1,"san luis obispo, CA","anaheim, CA",225,222.772
Car,0,1,"santa clara, CA","modesto, CA",55,85.9375
Sedan Midsize,0,1,"morgan hill, CA","fortuna, CA",450,319.149
"SUV, SUV",0,2,"folsom, CA","hayward, CA",170,246.377
Pickup,0,1,"eureka, CA","hayward, CA",250,297.619
Sedan Small,0,1,"santa rosa, CA","diamond bar, CA",250,462.963
Car,0,1,"fresno, CA","lathrop, CA",125,115.741
SUV,0,1,"San Jose, CA","Sacramento, CA",55,125
SUV,0,1,"fontana, CA","red bluff, CA",350,573.77
SUV,0,1,"north hills, CA","fresno, CA",130,206.349
SUV,0,1,"san francisco, CA","san diego, CA",300,491.803
Van,0,1,"pleasanton, CA","san gabriel, CA",200,357.143
Car,0,1,"san francisco, CA","oakland, CA",250,13.9978
Car,0,1,"martinez, CA","fresno, CA",125,186.567
"Van, Van, Van",0,3,"oceanside, CA","benicia, CA",975,1392.86
Van,0,1,"yermo, CA","scotia, CA",350,636.364
Car,0,1,"paso robles, CA","anaheim, CA",300,243.902
Car,0,1,"mirada, CA","sacramento, CA",250,396.825
"Car, SUV, SUV",0,3,"san diego, CA","corona, CA",210,300
"Car, Car, Car, Car, Car, Car, Pickup, SUV, SUV",0,9,"oceanside, CA","santa clara, CA",1600,3902.44
SUV,0,1,"los angeles, CA","clovis, CA",175,230.263
"SUV, SUV",0,2,"san diego, CA","compton, CA",300,222.222
Pickup,0,1,"santa maria, CA","los angeles, CA",300,182.927
"Van, Van",0,2,"roseville, CA","hayward, CA",170,236.111
"Car, Car, Car, Pickup",0,4,"riverside, CA","bakersfield, CA",340,607.143
Car,0,1,"riverside, CA","sacramento, CA",250,446.429
Car,0,1,"fremont, CA","long beach, CA",145,381.579
"Car, Car, Car, Pickup, SUV",0,5,"rio linda, CA","napa, CA",375,334.821
Car,0,1,"san diego, CA","la mirada, CA",100,112.36
Car,0,1,"brentwood, CA","sacramento, CA",55,71.4286
Car,0,1,"van nuys, CA","riverside, CA",150,78.9474
Car,0,1,"palmdale, CA","sylmar, CA",300,51.9931
