vehicles,in_operation,num_vehicles,origin,destination,price,miles,total_weight
Car,1,1,"national city, CA","san diego, CA",50,11.9904,3497
Car,0,1,"san leandro, CA","burlingame, CA",150,25.9965,3497
Car,0,1,"riverside, CA","los angeles, CA",75,51.0204,3497
Van,0,1,"walnut creek, CA","cupertino, CA",200,58.9971,4500
Car,0,1,"los angeles, CA","san diego, CA",110,119.565,3497
Pickup,0,1,"san mateo, CA","long beach, CA",200,392.157,6000
"SUV, SUV",0,2,"mira loma, CA","martinez, CA",400,833.333,8518
Car,0,1,"san diego, CA","bloomington, CA",100,117.647,3497
SUV,0,1,"oakland, CA","la honda, CA",200,57.971,4259
Car,0,1,"newark, CA","richmond, CA",100,34.965,3497
Car,0,1,"bayside, CA","sonoma, CA",200,250,3497
Van,0,1,"santa clara, CA","la mesa, CA",400,470.588,4500
Car,1,1,"lodi, CA","richmond, CA",150,81.9672,3497
Car,0,1,"fremont, CA","tracy, CA",100,44.0529,3497
Car,0,1,"harbor city, CA","san diego, CA",130,107.438,3497
Van Full-size,0,1,"san jose, CA","visalia, CA",250,200,5390
Pickup,0,1,"long beach, CA","riverside, CA",100,49.0196,6000
Car,1,1,"san diego, CA","gardena, CA",100,126.582,3497
Car,1,1,"san martin, CA","fontana, CA",200,357.143,3497
SUV,0,1,"pinole, CA","menifee, CA",325,464.286,4259
Pickup,0,1,"riverside, CA","la mirada, CA",75,43.1034,6000
Car,0,1,"rancho mirage, CA","hawthorne, CA",150,131.579,3497
SUV,0,1,"costa mesa, CA","modesto, CA",225,357.143,4259
Car,0,1,"fresno, CA","van nuys, CA",150,211.268,3497
Car,0,1,"riverside, CA","livermore, CA",200,400,3497
SUV,0,1,"santa fe springs, CA","placentia, CA",50,19.0114,4259
Car,0,1,"los angeles, CA","stanford, CA",250,357.143,3497
"Car, Car, SUV",0,3,"riverside, CA","fresno, CA",390,847.826,11253
Pickup,0,1,"san luis obispo, CA","corona, CA",350,255.474,6000
Car,0,1,"santa ana, CA","fontana, CA",100,46.9484,3497
Pickup,0,1,"reno, NV","concord, CA",225,218.447,6000
Car,0,1,"anaheim, CA","menlo park, CA",225,387.931,3497
Pickup,1,1,"san diego, CA","long beach, CA",150,119.048,6000
SUV,0,1,"tustin, CA","chico, CA",400,519.481,4259
Other,1,1,"oakland, CA","oakland, CA",55,3.00055,
Van,0,1,"colton, CA","long beach, CA",70,70,4500
Car,0,1,"fresno, CA","la puente, CA",150,241.935,3497
SUV,1,1,"rancho cordova, CA","gardena, CA",150,405.405,4259
Car,0,1,"rancho cordova, CA","long beach, CA",175,406.977,3497
Car,1,1,"hayward, CA","long beach, CA",175,388.889,3497
SUV,0,1,"san luis obispo, CA","anaheim, CA",225,222.772,4259
Car,0,1,"santa clara, CA","modesto, CA",55,85.9375,3497
Sedan Midsize,0,1,"morgan hill, CA","fortuna, CA",450,319.149,3497
"SUV, SUV",0,2,"folsom, CA","hayward, CA",170,246.377,8518
Pickup,0,1,"eureka, CA","hayward, CA",250,297.619,6000
Sedan Small,0,1,"santa rosa, CA","diamond bar, CA",250,462.963,2979
Car,0,1,"fresno, CA","lathrop, CA",125,115.741,3497
SUV,0,1,"San Jose, CA","Sacramento, CA",55,125,4259
SUV,0,1,"fontana, CA","red bluff, CA",350,573.77,4259
SUV,0,1,"north hills, CA","fresno, CA",130,206.349,4259
SUV,0,1,"san francisco, CA","san diego, CA",300,491.803,4259
Van,0,1,"pleasanton, CA","san gabriel, CA",200,357.143,4500
Car,0,1,"san francisco, CA","oakland, CA",250,13.9978,3497
Car,0,1,"martinez, CA","fresno, CA",125,186.567,3497
"Van, Van, Van",0,3,"oceanside, CA","benicia, CA",975,1392.86,13500
Van,0,1,"yermo, CA","scotia, CA",350,636.364,4500
Car,0,1,"paso robles, CA","anaheim, CA",300,243.902,3497
Car,0,1,"mirada, CA","sacramento, CA",250,396.825,3497
"Car, SUV, SUV",0,3,"san diego, CA","corona, CA",210,300,12015
"Car, Car, Car, Car, Car, Car, Pickup, SUV, SUV",0,9,"oceanside, CA","santa clara, CA",1600,3902.44,35500
SUV,0,1,"los angeles, CA","clovis, CA",175,230.263,4259
"SUV, SUV",0,2,"san diego, CA","compton, CA",300,222.222,8518
Pickup,0,1,"santa maria, CA","los angeles, CA",300,182.927,6000
"Van, Van",0,2,"roseville, CA","hayward, CA",170,236.111,9000
"Car, Car, Car, Pickup",0,4,"riverside, CA","bakersfield, CA",340,607.143,16491
Car,0,1,"riverside, CA","sacramento, CA",250,446.429,3497
Car,0,1,"fremont, CA","long beach, CA",145,381.579,3497
"Car, Car, Car, Pickup, SUV",0,5,"rio linda, CA","napa, CA",375,334.821,20750
Car,0,1,"san diego, CA","la mirada, CA",100,112.36,3497
Car,0,1,"brentwood, CA","sacramento, CA",55,71.4286,3497
Car,0,1,"van nuys, CA","riverside, CA",150,78.9474,3497
Car,0,1,"palmdale, CA","sylmar, CA",300,51.9931,3497
Car,0,1,"fairfield, CA","carlsbad, CA",300,476.19,3497
Pickup,0,1,"san diego, CA","placentia, CA",100,91.7431,6000
Sedan Small,0,1,"redding, CA","san francisco, CA",230,216.981,2979
Car,0,1,"fremont, CA","north hollywood, CA",125,347.222,3497
Car,0,1,"long beach, CA","palo alto, CA",350,384.615,3497
Car,1,1,"bakersfield, CA","bellflower, CA",150,116.279,3497
Car,0,1,"san francisco, CA","rosemead, CA",240,393.443,3497
Pickup,0,1,"vista, CA","paramount, CA",180,86.9565,6000
Car,0,1,"long beach, CA","santa maria, CA",250,195.312,3497
SUV,0,1,"north hollywood, CA","san bruno, CA",225,362.903,4259
Other,1,1,"sacramento, CA","modesto, CA",200,68.9655,
Sedan Midsize,1,1,"bakersfield, CA","costa mesa, CA",150,157.895,3497
Car,0,1,"castaic, CA","escondido, CA",200,158.73,3497
Van,0,1,"whittier, CA","medford, OR",700,714.286,4500
Car,0,1,"castaic, CA","riverside, CA",210,100,3497
SUV,0,1,"eureka, CA","valencia, CA",400,615.385,4259
Car,0,1,"paramount, CA","santa ana, CA",75,26.9784,3497
Car,0,1,"south san francisco, CA","hacienda heights, CA",325,406.25,3497
"SUV, SUV",0,2,"fremont, CA","sacramento, CA",190,223.529,8518
"Car, Car",0,2,"riverside, CA","fresno, CA",270,562.5,6994
Car,0,1,"santa ana, CA","davis, CA",200,444.444,3497
Car,0,1,"rancho cordova, CA","la palma, CA",250,409.836,3497
Car,0,1,"fresno, CA","gardena, CA",300,234.375,3497
Car,0,1,"anaheim, CA","turlock, CA",200,327.869,3497
Car,0,1,"upland, CA","oakland, CA",225,394.737,3497
SUV,0,1,"chino, CA","san bernardino, CA",70,30.0429,4259
Car,0,1,"las vegas, NV","placentia, CA",150,250,3497
Van,0,1,"north hollywood, CA","commerce, CA",75,23.9617,4500
Car,0,1,"gilroy, CA","sacramento, CA",225,152.027,3497
"Car, Car",1,2,"fontana, CA","long beach, CA",150,120,6994
Car,0,1,"perris, CA","saratoga, CA",250,409.836,3497
"Car, Car, Car, Car, Car, Car, Car, Pickup, Van",0,9,"oceanside, CA","bakersfield, CA",1035,1696.72,34979
Car,0,1,"long beach, CA","paramount, CA",75,12.9983,3497
Car,1,1,"fair oaks, CA","irvine, CA",250,446.429,3497
"Car, Car, Car, Car, Car, Car, Car, Car, SUV",0,9,"hayward, CA","roseville, CA",495,1053.19,32235
Car,0,1,"fresno, CA","santa fe springs, CA",150,238.095,3497
Car,0,1,"colton, CA","carson, CA",85,70.2479,3497
"Car, Car, Car, SUV",0,4,"riverside, CA","sacramento, CA",640,1729.73,14750
Car,0,1,"monterey, CA","fresno, CA",200,151.515,3497
Car,0,1,"colton, CA","sacramento, CA",200,444.444,3497
Car,0,1,"arcadia, CA","santa clara, CA",450,357.143,3497
SUV,0,1,"huntington beach, CA","placentia, CA",65,22.0339,4259
SUV,0,1,"fremont, CA","los angeles, CA",150,357.143,4259
Pickup,0,1,"sun valley, CA","ontario, CA",125,50,6000
"Car, Car",0,2,"fontana, CA","anaheim, CA",150,70.0935,6994
Car,1,1,"lancaster, CA","los angeles, CA",150,93.1677,3497
Pickup,1,1,"fremont, CA","paramount, CA",150,375,6000
SUV,0,1,"anaheim, CA","daly city, CA",225,424.528,4259
"Car, Car, Car, Car, SUV",0,5,"mira loma, CA","oxnard, CA",275,763.889,18247
Car,0,1,"sacramento, CA","paradise, CA",115,96.6387,3497
SUV,1,1,"fresno, CA","south gate, CA",150,220.588,4259
Van,0,1,"monterey park, CA","el monte, CA",850,9.00042,4500
Car,0,1,"san francisco, CA","thousand oaks, CA",300,394.737,3497
Car,0,1,"anaheim, CA","burbank, CA",75,36.0577,3497
Car,0,1,"riverside, CA","walnut creek, CA",200,416.667,3497
Car,0,1,"escondido, CA","thousand oaks, CA",100,163.934,3497
Car,0,1,"riverside, CA","walnut creek, CA",180,418.605,3497
"Car, Car, Car, Car, Car, Car, SUV, SUV",0,8,"riverside, CA","sacramento, CA",1280,3459.46,29500
Car,0,1,"riverside, CA","burbank, CA",75,68.8073,3497
SUV,0,1,"san jose, CA","modesto, CA",55,85.9375,4259
Car,0,1,"hayward, CA","poway, CA",375,487.013,3497
Convertible,0,1,"riverside, CA","santa clara, CA",200,400,2979
Car,0,1,"los angeles, CA","roseville, CA",250,409.836,3497
Van,0,1,"san jose, CA","novato, CA",200,69.9301,4500
Car,0,1,"montebello, CA","roseville, CA",200,416.667,3497
Other,0,1,"corona, CA","south gate, CA",150,57.0342,
Car,0,1,"long beach, CA","riverside, CA",75,50,3497
Pickup,0,1,"san luis obispo, CA","san diego, CA",400,320,6000
Car,1,1,"elk grove, CA","richmond, CA",125,89.2857,3497
Car,0,1,"tracy, CA","oakland, CA",80,47.0588,3497
SUV,0,1,"hollister, CA","reseda, CA",200,307.692,4259
Car,0,1,"fresno, CA","long beach, CA",140,241.379,3497
"Car, Car",0,2,"riverside, CA","costa mesa, CA",170,100,6994
Car,0,1,"van nuys, CA","santa maria, CA",180,142.857,3497
Car,0,1,"roseville, CA","palo alto, CA",150,133.929,3497
Pickup,0,1,"santa ana, CA","corning, CA",400,533.333,6000
Car,0,1,"san diego, CA","bakersfield, CA",160,219.178,3497
Car,0,1,"north hills, CA","chico, CA",375,468.75,3497
Pickup Crew Cab,0,1,"fullerton, CA","arcata, CA",600,689.655,5000
Car,0,1,"rancho cordova, CA","gardena, CA",175,406.977,3497
Car,0,1,"hayward, CA","south san francisco, CA",150,29.0135,3497
Car,0,1,"Carlsbad, CA","Bakersfield, CA",118,187.302,3497
Car,0,1,"fairfield, CA","sherman oaks, CA",180,382.979,3497
SUV,0,1,"escondido, CA","san jose, CA",375,457.317,4259
"Car, SUV",1,2,"fontana, CA","long beach, CA",150,128.205,7756
SUV,0,1,"reno, NV","oakland, CA",250,225.225,4259
Car,1,1,"reno, NV","rancho cordova, CA",150,145.631,3497
Car,0,1,"mira loma, CA","walnut creek, CA",200,408.163,3497
Pickup,0,1,"riverdale, CA","richmond, CA",275,203.704,6000
Car,0,1,"san francisco, CA","long beach, CA",225,409.091,3497
Car,0,1,"chino, CA","carlsbad, CA",100,78.7402,3497
"Car, SUV",0,2,"mira loma, CA","montebello, CA",140,80,7756
Other,1,1,"watsonville, CA","hayward, CA",115,70.9877,
Van,0,1,"anderson, CA","richmond, CA",200,192.308,4500
Pickup,0,1,"paramount, CA","union city, CA",325,382.353,6000
"Pickup, SUV",0,2,"anaheim, CA","montebello, CA",100,55.8659,10259
Car,1,1,"hayward, CA","carson, CA",170,377.778,3497
"Car, Car, Car",0,3,"newport beach, CA","fresno, CA",600,810.811,10491
Car,0,1,"oceanside, CA","south san francisco, CA",350,479.452,3497
Van,0,1,"oceanside, CA","fontana, CA",200,76.0456,4500
Pickup,0,1,"whittier, CA","auburn, CA",300,441.176,6000
Car,0,1,"national city, CA","upland, CA",100,121.951,3497
